step	train_accuracy
0	0.14774951338768005
1	0.15655577182769775
2	0.20254403352737427
3	0.27397260069847107
4	0.3757338523864746
5	0.43150684237480164
6	0.46771037578582764
7	0.49706459045410156
8	0.5215263962745667
9	0.5459882616996765
10	0.5831702351570129
11	0.5939334630966187
12	0.6242661476135254
13	0.6232876777648926
14	0.6771036982536316
