step	train_loss
0	1.9403215646743774
1	1.9265046119689941
2	1.8976093530654907
3	1.841348648071289
4	1.7472076416015625
5	1.6068378686904907
6	1.438151478767395
7	1.2996207475662231
8	1.1806776523590088
9	1.1118377447128296
10	1.0336586236953735
11	0.9814000129699707
12	0.9330824613571167
13	0.8814762234687805
14	0.8086891174316406
